,id,DepthTimestamp,DepthPath,RGBTimestamp,RGBPath
1,1316653580,987080,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653580.987080-1346170738.pgm,982282,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653580.982282-1346504934.ppm
2,1316653581,984305,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653581.984305-1406235388.pgm,979233,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653581.979233-1406513559.ppm
3,1316653582,966019,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653582.966019-1462295728.pgm,973762,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653582.973762-1464521896.ppm
4,1316653583,985210,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653583.985210-1526364688.pgm,979090,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653583.979090-1526530809.ppm
5,1316653584,982552,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653584.982552-1586429338.pgm,969081,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653584.969081-1586539434.ppm
6,1316653585,984990,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653585.984990-1646493988.pgm,978960,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653585.978960-1646548059.ppm
7,1316653586,982504,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653586.982504-1706558638.pgm,970938,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653586.970938-1706556684.ppm
8,1316653587,990558,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653587.990558-1766623288.pgm,978547,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653587.978547-1766565309.ppm
9,1316653588,992842,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653588.992842-1826687938.pgm,986718,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653588.986718-1826573934.ppm
10,1316653589,977228,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653589.977228-1886752588.pgm,984350,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653589.984350-1886582559.ppm
